fy,quarter,budget_function_code,budget_function_name,budget_subfunction_code,budget_subfunction_name,amount,total
2018,3,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",16927893295.39,
2018,3,270,Energy,271,Energy supply,7894884981.72,
2018,3,270,Energy,272,Energy conservation,1181963092.71,
2018,3,270,Energy,274,Emergency energy preparedness,178023627.78,
2018,3,270,Energy,276,"Energy information, policy, and regulation",1325583705.09,
2018,3,300,Natural Resources and Environment,301,Water resources,21435589130.18,
2018,3,300,Natural Resources and Environment,302,Conservation and land management,11155630512.18,
2018,3,300,Natural Resources and Environment,303,Recreational resources,3187032569.79,
2018,3,300,Natural Resources and Environment,304,Pollution control and abatement,5686377911.5,
2018,3,300,Natural Resources and Environment,306,Other natural resources,7838344905.37,
2018,3,350,Agriculture,351,Farm income stabilization,15802546125.1,
2018,3,350,Agriculture,352,Agricultural research and services,4444374355.45,
2018,3,370,Commerce and Housing Credit,371,Mortgage credit,20193496107.91,
2018,3,370,Commerce and Housing Credit,373,Deposit insurance,2561945442.88,
2018,3,370,Commerce and Housing Credit,376,Other advancement of commerce,25878532761.99,
2018,3,400,Transportation,401,Ground transportation,33401471709.1,
2018,3,400,Transportation,402,Air transportation,26189578057.08,
2018,3,400,Transportation,403,Water transportation,8371842149.51,
2018,3,400,Transportation,407,Other transportation,986054812.3,
2018,3,450,Community and Regional Development,451,Community development,3195991824.58,
2018,3,450,Community and Regional Development,452,Area and regional development,17470909734.84,
2018,3,450,Community and Regional Development,453,Disaster relief and insurance,36866275746.31,
2018,3,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",25421993545.74,
2018,3,500,"Education, Training, Employment, and Social Services",502,Higher education,21211679486.61,
2018,3,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,1630576465.72,
2018,3,500,"Education, Training, Employment, and Social Services",504,Training and employment,6875282320.58,
2018,3,500,"Education, Training, Employment, and Social Services",505,Other labor services,1770863340.31,
2018,3,500,"Education, Training, Employment, and Social Services",506,Social services,13826146424.19,
2018,3,550,Health,551,Health care services,482342835707.65,
2018,3,550,Health,552,Health research and training,26113083572.45,
2018,3,550,Health,554,Consumer and occupational health and safety,5291112806.89,
2018,3,570,Medicare,571,Medicare,804507234392.01,
2018,3,600,Income Security,601,General retirement and disability insurance (excluding social se,17668908440.69,
2018,3,600,Income Security,602,Federal employee retirement and disability,114326588514.81,
2018,3,600,Income Security,603,Unemployment compensation,24950304542.87,
2018,3,600,Income Security,604,Housing assistance,47193564276.92,
2018,3,600,Income Security,605,Food and nutrition assistance,78375640600.0,
2018,3,600,Income Security,609,Other income security,158007152051.88,
2018,3,650,Social Security,651,Social security,777548858687.52,
2018,3,700,Veterans Benefits and Services,701,Income security for veterans,70347170634.39,
2018,3,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",10915491706.05,
2018,3,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,60908126692.25,
2018,3,700,Veterans Benefits and Services,704,Veterans housing,1115780402.43,
2018,3,700,Veterans Benefits and Services,705,Other veterans benefits and services,9526901485.17,
2018,3,750,Administration of Justice,751,Federal law enforcement activities,34765958836.37,
2018,3,750,Administration of Justice,752,Federal litigative and judicial activities,7933425662.97,
2018,3,750,Administration of Justice,753,Federal correctional activities,5847489779.55,
2018,3,750,Administration of Justice,754,Criminal justice assistance,1738483443.85,
2018,3,800,General Government,801,Legislative functions,437478513.38,
2018,3,800,General Government,802,Executive direction and management,311096219.33,
2018,3,800,General Government,803,Central fiscal operations,313530594652.37,
2018,3,800,General Government,804,General property and records management,20322167941.82,
2018,3,800,General Government,805,Central personnel management,32112558392.01,
2018,3,800,General Government,806,General purpose fiscal assistance,5635487005.21,
2018,3,800,General Government,808,Other general government,2242415971.92,
2018,3,900,Net Interest,901,Interest on Treasury debt securities (gross),413656060493.32,
2018,3,900,Net Interest,908,Other interest,10888649814.89,
2018,4,000,Governmental Receipts,000,Governmental Receipts,0.0,
2018,4,050,National Defense,051,Department of Defense-Military,867626972786.82,
2018,4,050,National Defense,053,Atomic energy defense activities,27018190535.03,
2018,4,050,National Defense,054,Defense-related activities,100983123291.53,
2018,4,150,International Affairs,151,International development and humanitarian assistance,29430916090.7,
2018,4,150,International Affairs,152,International security assistance,15586113704.53,
2018,4,150,International Affairs,153,Conduct of foreign affairs,26289698678.63,
2018,4,150,International Affairs,154,Foreign information and exchange activities,1756862581.79,
2018,4,150,International Affairs,155,International financial programs,59183136834.5,
